"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133082","User cannot access another user's order","","2026-07-12","broken","2026-07-12","","Order Access Security","User cannot access another user's order",""
"","204","Invalid login","","2026-07-12","broken","2026-07-12","","Security","Invalid login",""
"","270","View placed order","","2026-07-12","broken","2026-07-12","","Order","View placed order",""
"","205","Place an order","","2026-07-12","broken","2026-07-12","","Checkout","Place an order",""
"","252","Verify order through UI API and Database","","2026-07-12","broken","2026-07-12","","End-to-End Checkout","Verify order through UI API and Database",""
"","252","Successful login","","2026-07-12","broken","2026-07-12","","Login","Successful login",""
"","135552","Cancel an already cancelled order","","2026-07-12","broken","2026-07-12","","Cancel Order","Cancel an already cancelled order",""
"","5127","Add product to cart","","2026-07-12","broken","2026-07-12","","Cart","Add product to cart",""
"","195","Search a product","","2026-07-12","broken","2026-07-12","","Product Search","Search a product",""
"","135165","User cannot add an out of stock product","","2026-07-12","broken","2026-07-12","","Out Of Stock","User cannot add an out of stock product",""
